"Plot Title: CT_20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
422,03/06/20 01:40:20 PM,24.44,0.0,0.0123
423,03/06/20 01:40:30 PM,24.44,0.0,0.0123
424,03/06/20 01:40:40 PM,24.42,0.0,0.0123
425,03/06/20 01:40:50 PM,24.42,0.0,0.0123
426,03/06/20 01:41:00 PM,24.39,0.0,0.0123
427,03/06/20 01:41:10 PM,24.36,0.0,0.0123
428,03/06/20 01:41:20 PM,24.36,0.0,0.0123
429,03/06/20 01:41:30 PM,24.36,0.0,0.0123
430,03/06/20 01:41:40 PM,24.36,0.0,0.0123
431,03/06/20 01:41:50 PM,24.34,0.0,0.0123
432,03/06/20 01:42:00 PM,24.31,0.0,0.0123
433,03/06/20 01:42:10 PM,24.31,0.0,0.0123
434,03/06/20 01:42:20 PM,24.31,0.0,0.0123
435,03/06/20 01:42:30 PM,24.26,0.0,0.0123
436,03/06/20 01:42:40 PM,24.23,0.0,0.0123
